ID,Deadline,Category,Letter description,Interview description,Description_ES,Help,Help_ES,Sanitary Code Section
no_extinguisher,30 Days,Safety,,No working fire extinguishers,No hay extintores de incendios que funcionen,The landlord must install and maintain fire extinguishers as required by the local fire chief.,El dueño debe instalar y mantener los extintores de incendios según de acuerdo con los requisitos del jefe de bomberos local.,527 C.M.R. §10.02
no_gas,24 hours,Electricity and Gas,,No gas,No hay gas,There must be gas.,Debe haber gas.,410.354
no_gas_submeter,30 Days,Electricity and Gas,,Gas is not separately metered but tenant pays for it,"El gas no se mide de forma individual, pero el inquilino lo paga",The landlord must provide and pay for electricity and gas if your apartment is not individually metered or you do not have a written rental agreement that says you must pay for electric and gas.,El dueño debe proporcionar y pagar la electricidad y el gas si su apartamento no tiene un medidor individual o si no tiene un contrato de alquiler por escrito que indique que usted debe pagar la electricidad y el gas.,410.354(A)
no_hallway_light,5 Days,Lighting,,"Hallway, stairs, or common areas are not safely lit","Los pasillos, escaleras o áreas comunes no tienen buena iluminación","Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of the hallway, stairs, and common areas.","El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan un uso seguro y razonable del pasillo, las escaleras y las áreas comunes.",410.253(A)
no_hot_water,24 hours,Water,,Not enough hot or cold water for more than 24 hours,No hay suficiente agua fría o caliente durante más de 24 horas,"No or not enough hot or cold water (including amount, pressure, and temperature) for 24 hours or longer.","No hay o no hay suficiente agua fría o caliente (incluida la cantidad, la presión y la temperatura) por 24 horas o más.","410.180, 190"
no_hot_water_heater,30 Days,Water,,Landlord did not supply a hot water heater,El dueño no suministró un calentador de agua,"Tenant has a written rental agreement that says they must provide hot water, but landlord has not provided a hot water heater.","El inquilino tiene un contrato de alquiler por escrito que establece que debe proporcionar agua caliente, pero el dueño no ha proporcionado un calentador de agua.",410.19
no_laundry_room_light,5 Days,Lighting,,Laundry room is not safely lit,El cuarto de lavandería no tiene buena iluminación,Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of the laundry room.,El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan un uso seguro y razonable del cuarto de lavandería.,410.253(A)
no_light_fixtures,30 Days,Kitchen,,No working light fixture,No hay ninguna luz que funcione,Landlord must provide at least one working light fixture.,El dueño debe proporcionar al menos un accesorio de iluminación que funcione.,410.251
no_lights,30 Days,Bathroom,,No working lights in good condition,No hay luces que funcionen o estén en buen estado,"Bathroom must include at least one electric light fixture, in good repair.",El baño debe tener al menos una luz eléctrica en buenas condiciones.,410.252
no_oven,30 Days,Kitchen,,No working oven or stove,No hay una caldera o estufa que funcione,Landlord must provide a stove and oven in good working condition (unless written agreement requires tenant to provide these).,El dueño debe proporcionar una estufa y horno que funcione bien (a menos que haya un acuerdo por escrito que requiera que el inquilino debe proporcionar estos).,410.100(A)(2)
no_pantry_light,5 Days,Lighting,,Pantry is not safely lit,La despensa no tiene buena iluminación,Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of the pantry.,El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan un uso seguro y razonable de la despensa.,410.253(A)
no_porch_light,5 Days,Lighting,,Porch is not safely lit,El porche no tiene buena iluminación,Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of the porch.,El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan un uso seguro y razonable del porche.,410.253(A)
no_porch_light_2,5 Days,Porch and balcony,,Porch is not safely lit,El porche no tiene buena iluminación,Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of the porch.,El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan un uso seguro y razonable del porche.,410.253(A)
no_posted_contact,30 Days,General Maintenance,,A sign with the landlord's contact information is not clearly posted in the building,No hay un letrero con la información de contacto del dueño claramente publicado en el edificio,"the landlord or a manager does not live in the property, the landlord must post a sign with the name, address, and phone number of the landlord or their agent. The sign must be inside the building and at least 20 square inches.","Si ni el dueño ni un administrador viven en la propiedad, el dueño debe colocar un letrero con el nombre, la dirección y el número de teléfono del dueño o su agente. El letrero debe estar dentro del edificio y por lo menos ser de 20 pulgadas cuadradas.",410.602(D) 410.481
no_screens_on_doors,30 Days,General Maintenance,,Doors that open to the outside do not have screens,Las puertas que se abren al exterior no tienen mosquiteros,All doors that open directly to the outside must have screens between April 1 and October 30.,Todas las puertas que se abran directamente al exterior deben tener mosquiteros entre el 1 de abril y el 30 de octubre.,410.552 410.553
no_screens_on_windows,30 Days,General Maintenance,,Windows on the first 4 floors do not have screens,Las ventanas en los primeros 4 pisos no tienen mosquiteros,"All windows that open to the outside, on the first four floors, must have screens between April 1 and October 30.","Todas las ventanas que se abra hacia el exterior, en los primeros cuatro pisos, deben tener mosquiteros entre el 1 de abril y el 30 de octubre.",410.551 410.553
no_smoke_detector,24 hours,Safety,,No working smoke detector,No hay ningún detector de humo que funcione,There must be a smoke detector in good working order.,Debe haber un detector de humo en buenas condiciones de funcionamiento.,410.482
no_sprinkler,30 Days,Safety,,No automatic sprinkler system in a building over 70 feet high,No hay un sistema de rociadores automáticos en un edificio de más de 70 pies de altura,Buildings over 70 feet high must have an automatic sprinkler system in accordance with the state Building Code.,Los edificios de más de 70 pies de altura deben tener un sistema de rociadores automáticos de acuerdo con el Código de construcción del estado.,"G.L. c. 148, §26A"
no_stairway_light,5 Days,Lighting,,Outside stairways and passageways are not safely lit,Las escaleras y pasillos exteriores no tienen buena iluminación,Landlord must provide and place electric light fixtures and switches that allow safe and reasonable use of outside stairways and passageways.,El dueño debe facilitar y ubicar interruptores y accesorios de luz eléctrica que permitan el uso seguro y razonable de las escaleras y pasillos exteriores.,410.253(A)
no_utility_agreement,30 Days,Electricity and Gas,,Tenant pays for gas or electricity without a written agreement,El inquilino paga el gas o la electricidad sin un acuerdo por escrito,The landlord must provide and pay for electricity and gas if your apartment is not individually metered or you do not have a written rental agreement that says you must pay for electric and gas.,El dueño debe proporcionar y pagar la electricidad y el gas si su apartamento no tiene un medidor individual o si no tiene un contrato de alquiler por escrito que indique que usted debe pagar la electricidad y el gas.,410.354(A)
no_water,24 hours,Water,,No safe water,No hay agua potable,There must be a safe water supply.,Debe haber un suministro de agua potable.,410.18
not_64_heat_provided,30 Days,Heat,,Landlord did not provide furnace or other way to heat all rooms to at least 64 degrees during the night in the winter,El dueño no proporcionó una caldera u otro método para calentar todas las habitaciones a al menos 64 grados durante la noche en el invierno,"From September 16 to June 14, the landlord must provide equipment and appliances to heat every habitable room and bathrooms to at least 64 degrees Fahrenheit between 11 p.m. and 7 a.m.","Desde el 16 de septiembre hasta el 14 de junio, el dueño debe proporcionar equipos y electrodomésticos para calentar cada habitación y baños habitables a un mínimo de 64 grados Fahrenheit entre las 11 p. m. y las 7 a. m.",410.200-201
not_68_heat_provided,30 Days,Heat,,Landlord did not provide furnace or other way to heat all rooms to at least 68 degrees during the day in the winter,El dueño no proporcionó una caldera u otro método para calentar todas las habitaciones a al menos 68 grados durante el día en el invierno,"From September 16 to June 14, the landlord must provide equipment and appliances to heat every habitable room and bathrooms to at least 68 degrees Fahrenheit between 7 a.m. and 11 p.m.","Desde el 16 de septiembre hasta el 14 de junio, el dueño debe proporcionar equipos y electrodomésticos para calentar cada habitación y baños habitables a un mínimo de 68 grados Fahrenheit entre las 7 a. m. y las 11 p. m.",410.200-201
not_enough_exits,30 Days,Exits,,Not enough safe exits,No hay suficientes salidas seguras,There must be as many exits as necessary for safe passage of all people as defined by the state Building Code.,Debe haber tantas salidas como sea necesario para garantizar el paso seguro de todas las personas según lo define el Código de construcción del estado.,410.45 780 C.M.R. 10.00
not_enough_garbage_cans,30 Days,Garbage,,Not enough garbage cans in a building with 3 or more units,No hay suficientes tachos de basura en un edificio con 3 o más unidades,"In buildings with 3 or more units, the landlord must provide enough watertight garbage cans. Cans must have tightly fitting covers. The landlord must put cans in places that are convenient to tenants and do not allow odors into your living space.","En edificios que tengan 3 o más unidades, el dueño debe proporcionar suficientes tachos de basura herméticos. Los tachos deben tener tapas bien ajustadas. El dueño debe colocar los tachos en lugares que sean convenientes para los inquilinos y que no permitan que los olores entren al espacio habitado.",410.600(C)
obstructed_exits,24 hours,Exits,,Not enough unobstructed exits,No hay suficientes salidas que no tengan obstrucciones,"Inadequate exits, including the obstruction of any exit, passageway, or common area through which you exit in an emergency.","Las salidas inadecuadas, que incluye la obstrucción de cualquier salida, pasillo o área común a través de la cual se deba salir en caso de emergencia.",410.450-452
one_exit_blocked,30 Days,Exits,,One or more exits is not kept clear in a building with at least 2 units,Una o más salidas no se mantiene despejada en un edificio que tiene al menos 2 unidades,"In a property with more than one unit, the landlord must keep all shared exits free from obstruction.","En una propiedad que tenga más de una unidad, el dueño debe mantener todas las salidas compartidas libres de obstrucciones.",410.451
other_danger_structural,24 hours,Building Structure,,Other dangerous structural problem,Hay otro problema estructural peligroso,"There cannot be any structural defects that may expose you to fire, burns, shock, accident, or other danger.","No puede haber ningún defecto estructural que pueda exponerlo a usted a incendios, quemaduras, descargas eléctricas, accidentes u otros peligros.",410.5
outside_windows_not_lockable,30 Days,Safety,,Outside windows or doors do not lock,Las ventanas o puertas exteriores no se pueden trabar,The landlord must make sure that all exterior windows that open and all entry doors have working locks.,El dueño debe asegurarse de que todas las ventanas exteriores que se abran y todas las puertas de entrada tengan trabas que funcionen.,410.480(D) and (E)
oven_broken,5 days,Kitchen,,Stove or oven is not working,La estufa o el horno no funcionan,"Landlord must provide a stove and oven in good working
 condition (unless written agreement requires tenant to
 provide these).","El dueño debe proporcionar una estufa y horno que funcione
  bien (a menos que haya un acuerdo por escrito que requiera que
  el inquilino debe proporcionar estos).",410.1
oven_general_maintenance,30 Days,General Maintenance,,Stoves and ovens are not properly maintained,Las estufas y los hornos no están adecuadamente mantenidos,"The landlord must install all stoves and ovens correctly and keep free of leaks, blocks, and other defects.","El dueño debe instalar todas las estufas y hornos correctamente y mantenerlos libres de fugas, bloqueos y otros defectos.",410.351(A)
plumbing_hookup_mistake,30 Days,Water,,"Plumbing is not correctly hooked up to hot water, cold water, or sewer line","La plomería no está conectada correctamente al agua caliente, al agua fría o al alcantarillado","A toilet, sink, kitchen sink, and shower or bathtub must be connected correctly to hot and cold water lines. They must also be connected correctly to a sanitary drain line.","El inodoro, lavabo, fregadero de la cocina y ducha o bañera deben estar conectados correctamente a las tuberías de agua fría y caliente. Asimismo, deben estar conectados correctamente a una tubería de drenaje sanitario.",410.35
porch_not_maintained,30 Days,Porch and balcony,,Porch or balcony has holes or cracks,El porche o balcón tiene orificios o grietas,"Porch or balcony cannot have holes, cracks, loose plaster and other defects.","El porche o balcón no puede tener orificios, grietas, yeso suelto ni otros defectos.",410.5
railing_other_missing,5 days,Porch and balcony,,"Porch, balcony, or roof has missing railings or unsafe railings","Al porche, balcón o techo le faltan barandillas son inseguras","No or unsafe handrails or protective railings on porches, roofs, stairways, or other similar places.","No hay pasamanos o barandillas protectoras o no son seguros en porches, techos, escaleras u otros lugares similares.",410.503(A) and (B)
roach_insects,5 days,Rodents and insects,,Cockroach or insect infestation in the apartment,El apartamento tiene una infestación de cucarachas o insectos,No roaches or other insects are allowed in the apartment or building. The landlord must exterminate them when they are found in common areas or in any individual apartment in buildings with two or more units.,"No puede haber cucarachas u otros insectos en el apartamento o edificio. Cuando se encuentren en áreas comunes o en cualquier departamento individual en edificios que tengan dos o más unidades, el dueño debe exterminarlos.",410.55
roof_structural,30 Days,Building Structure,,Roof has holes or cracks and is not weathertight,El techo tiene orificios o grietas y no es impermeable,"Roof must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","Los techos deben ser impermeables, estar libres de humedad crónica, ser a prueba de insectos o roedores. No pueden tener orificios, grietas, yeso suelto ni otros defectos.",410.5
shower_in_living_space,30 Days,Bathroom,,"Shower or bathtub is in a room used for living, sleeping, or eating","La ducha o la bañera están en una habitación que se usa para vivir, dormir o comer","Landlord must supply one shower or bathtub, free from defects in a room not used for living, sleeping, cooking, or eating.","El dueño debe proporcionar una ducha o bañera libre de defectos en una habitación que no se use para vivir, dormir, cocinar o comer.",410.150(A)(3)
shutoff,24 hours,Electricity and Gas,,"Gas, electricity, or water were shut off","Han cortado el gas, la electricidad o el agua","Shut-off and/or failure to restore electricity, gas, or water.","Cierre y/o falta de restauración de la electricidad, el gas o el agua.","410.750(C), 410.354"
sink_no_drain,30 Days,Kitchen,,Sink does not have proper drainage,El fregadero no tiene un drenaje adecuado,Sink must have proper drainage.,El fregadero debe tener un drenaje adecuado.,"410.100(A)(1), 410.350(A)"
sink_no_water,30 Days,Kitchen,,Sink does not get hot and cold water,No llega agua caliente al fregadero,Sink must get hot and cold water.,Debe llegar agua caliente al fregadero.,"410.100(A)(1), 410.350(A)"
smoke_detectors_general_maintenance,30 Days,General Maintenance,,Smoke and carbon monoxide detectors are not properly maintained,Los detectores de humo y monóxido de carbono no están adecuadamente mantenidos,"The landlord must install smoke detectors and carbon monoxide alarms correctly and keep free of leaks, blocks, and other defects.","El dueño debe instalar detectores de humo y alarmas de monóxido de carbono correctamente y mantenerlos libres de fugas, bloqueos y otros defectos.",410.351(A)
space_heater_usage,24 hours,Heat,,Gas or fuel-burning water heater is used improperly,El calentador de agua a gas o combustible se usa incorrectamente,Space heater or water heater must be used properly.,El calentador portátil o el calentador de agua deben usarse correctamente.,"410.200B, 202"
space_heater_venting,24 hours,Heat,,Gas or fuel-burning space heater is not vented properly,El calentador portátil a gas o combustible no tiene ventilación adecuada,Space heater or water heater must be vented properly.,El calentador portátil o el calentador de agua deben contar con la ventilación adecuada.,"410.200B, 202"
space_heater_venting_30,30 Days,Heat,,Gas or fuel-burning space heater is not vented outside or to a chimney,El calentador portátil a gas o combustible no tiene ventilación al exterior ni a una chimenea,"Space heaters must vent to a chimney or a vent that leads outdoors. If the heater is electric, it does not need a vent.","Los calentadores portátiles deben ventilarse hacia una chimenea o un respiradero que conduzca al exterior. Si el calentador es eléctrico, no necesita ventilación.",410.202
stair_no_handrail,30 Days,Building Structure,,Stairs do not have a safe handrail,Las escaleras no tienen pasamanos seguro,Staircases must be stable with a safe handrail.,Las escaleras deben ser estables y tener un pasamanos seguro.,410.5
stair_structural,30 Days,Building Structure,,Stairs are not stable,Las escaleras no son estables,Staircases must be stable with a safe handrail.,Las escaleras deben ser estables y tener un pasamanos seguro.,"410.500, 503(A) and (B)"
temporary_wiring,30 Days,Electricity and Gas,,Extension cords are used for something other than a portable appliance,Se utilizan alargadores para otra cosa que un aparato portátil,"Temporary wiring may not be used, but the landlord can use extension cords for portable appliances or fixtures.","No se puede usar cableado temporal, pero el dueño puede usar alargadores para aparatos o accesorios portátiles.",410.256
tenant_pays_outside_light,30 Days,Lighting,,Tenant pays for lights outside the apartment in a building with more than 3 units,El inquilino paga por la iluminación en el exterior del apartamento en un edificio con más de 3 unidades,"In buildings with 3 units or fewer, the light fixtures in common hallways, stairways, and other common passages may be wired to the service for the unit next to the fixture. The landlord must pay for electricity to the fixture if you do not have a written agreement that says you pay for it. The landlord must also tell other occupants in the building about the agreement.","En los edificios que tengan 3 unidades o menos, los accesorios de iluminación en los pasillos comunes, escaleras y otros accesos comunes se pueden conectar al servicio de la unidad junto al accesorio. El dueño debe pagar la electricidad del accesorio si no tiene un acuerdo escrito que diga que usted debe pagarlo. Asimismo, el dueño debe informar a otros ocupantes del edificio sobre el acuerdo.",410.254(B)
tenant_water_bill,30 Days,Water,,Tenant is being directly billed for water but landlord is not following law,"Al inquilino se le factura directamente por el agua, pero el dueño no está satisfaciendo los requisitos de la ley","The landlord must provide and pay for water. But the landlord may bill a tenant for water and sewer only if the tenant moved into the apartment on or after March 16, 2005 and if the landlord has: a) Installed and is maintaining a water submeter that measures water going only to your unit; b) Installed low-flow water-saving devices on all showers, faucets, and toilets in your unit; c) Described the water billing arrangements between you and the landlord, in detail, in a written rental agreement; and d) Filed a certificate with the local board of health, or the agency responsible for enforcing the state Sanitary Code that says your unit is legal and meets the code.","El dueño debe suministrar y pagar el agua. No obstante, el dueño puede facturar al inquilino por el uso de agua y alcantarillado únicamente si el inquilino se mudó al apartamento el 16 de marzo de 2005 o después de esa fecha y si el dueño: a) ha instalado y mantiene un submedidor de agua que mide el agua que se abastece únicamente a su unidad; b) ha instalado dispositivos de ahorro de agua de bajo flujo en todas las duchas, grifos e inodoros de su unidad; c) ha establecido detalladamente los arreglos de facturación del agua entre usted y el dueño en un acuerdo de alquiler por escrito; y d) ha presentado un certificado ante la junta de salud local o la agencia responsable de hacer cumplir el Código Sanitario estatal que establece que su unidad es legal y satisface los requisitos del código.","G. L. c. 186, §14; G.L. c. 186, §22; 410.180, 410.354(D)"
tenant_water_submeter,30 Days,Water,,Tenant does not have access to water submeter,El inquilino no tiene acceso al submedidor de agua,"A landlord must allow you access to any water submeters that affect your unit so that, if you need to, you can have the accuracy of the submeter checked.","El dueño debe permitirle acceso a cualquier submedidor de agua que esté conectado a su unidad para que, si necesita hacerlo, pueda verificar la precisión del submedidor.",410.354(E)
toilet_in_living_space,30 Days,Bathroom,,"Toilet is in a room used for living, sleeping, or eating","El inodoro se encuentra en una habitación que se usa para vivir, dormir o comer","Landlord must supply one toilet, free from defects in a room not used for living, sleeping, cooking, or eating.","El dueño debe proporcionar un inodoro libre de defectos en una habitación que no se use para vivir, dormir, cocinar o comer.",410.150(A)(1)
toilet_no_door,30 Days,Bathroom,,"Rooms with a toilet, bathtub, or shower do not have closable doors","El cuarto donde está el inodoro, bañera o ducha no tiene una puerta que se pueda cerrar","Each room that contains a toilet, bathtub, or shower must have a closable door.","Cada cuarto que tenga inodoro, bañera o ducha debe tener una puerta que se pueda cerrar.",410.150(A)(4)
unsafe_electric,24 hours,General Maintenance,,Unsafe electrical problem,Problema eléctrico inseguro,"Improperly installed or maintained electrical, plumbing, or heating appliances or equipment that expose the occupant to fire, burns, shock, accident, or other dangers.","Aparatos o equipos eléctricos, de plomería o de calefacción que se hayan instalado o mantenido incorrectamente y expongan al ocupante a incendios, quemaduras, descargas eléctricas, accidentes u otros peligros.",410.351
unsafe_furnace,24 hours,General Maintenance,,Unsafe furnace,Caldera insegura,Improperly installed or maintained heating applicances.,Accesorios de calefacción mal instalados o mantenidos.,410.351
unsafe_plumbing,24 hours,General Maintenance,,Unsafe plumbing problem,Problema de plomería inseguro,Improperly installed or maintained plumbing.,Plomería mal instalada o mantenida.,410.351
ventilation_bedroom,30 Days,Bedroom,,"Not enough windows or doors that open, or not enough other ventilation",No hay suficientes ventanas o puertas que se abran u otra ventilación,"Every room must have windows, skylights, doors, or transoms in the outside wall or roof that open easily to at least 4% of the floor area of that room; or haveadequate mechanical ventilation systems.","Cada habitación debe tener ventanas, tragaluces, puertas o travesaños en la pared exterior o en el techo que se abran fácilmente como mínimo a un 4 % del área del piso de esa habitación, o debe tener un sistema de ventilación mecánica adecuado.",
ventilation_living_room,30 Days,Living area,,"Not enough windows or doors that open, or not enough other ventilation",No hay suficientes ventanas o puertas que se abran u otra ventilación,"Every room must have windows, skylights, doors, or transoms in the outside wall or roof that open easily to at least 4% of the floor area of that room; or haveadequate mechanical ventilation systems.","Cada habitación debe tener ventanas, tragaluces, puertas o travesaños en la pared exterior o en el techo que se abran fácilmente como mínimo a un 4 % del área del piso de esa habitación, o debe tener un sistema de ventilación mecánica adecuado.",
wall_structural,30 Days,Kitchen,,Walls have holes or cracks and is not weathertight,Las paredes tienen orificios o grietas y no son impermeables,"Walls must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","Las paredes deben ser impermeables, estar libres de humedad crónica, ser a prueba de insectos o roedores. No pueden tener orificios, grietas, yeso suelto ni otros defectos.",410.5
walls_bedroom,30 Days,Bedroom,,Walls have holes or cracks and is not weathertight,Las paredes tienen orificios o grietas y no son impermeables,"Walls must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","Las paredes deben ser impermeables, estar libres de humedad crónica, ser a prueba de insectos o roedores. No pueden tener orificios, grietas, yeso suelto ni otros defectos.",410.5
walls_living_room,30 Days,Living area,,Walls have holes or cracks and is not weathertight,Las paredes tienen orificios o grietas y no son impermeables,"Walls must be weathertight, free from chronic dampness, insect-proof, or rodent-proof. It cannot have holes, cracks, loose plaster and other defects.","Las paredes deben ser impermeables, estar libres de humedad crónica, ser a prueba de insectos o roedores. No pueden tener orificios, grietas, yeso suelto ni otros defectos.",410.5
water_general_maintenance,30 Days,General Maintenance,,Sewer connections are not properly maintained,Las conexiones al alcantarillado no están adecuadamente mantenidas,"The landlord must install correctly and keep free of leaks, blocks, and other defects all connections to water, sewer, and gas lines, and the subsurface sewage disposal system, if any.","El dueño debe instalar correctamente y mantener libres de fugas, bloques y otros defectos todas las conexiones a las tuberías de agua, alcantarillado y gas, y al sistema de eliminación de aguas residuales subterráneas, si hay uno.",410.351(A)
water_shutoff,24 hours,Water,,Water was shut off,Se ha cortado el agua,There must be a safe water supply.,Debe haber un suministro de agua potable.,410.18
window_does_not_open,30 Days,Building Structure,,Windows do not open easily or fully,Las ventanas no se abren fácil o totalmente,Windows must also open fully and easily.,"Asimismo, las ventanas se deben abrir completa y fácilmente.","410.500, 501"
window_kitchen,30 Days,Kitchen,,"Not enough windows or doors that open, or not enough other ventilation",No hay suficientes ventanas o puertas que se abran u otra ventilación,"Every room must have windows, skylights, doors, or transoms in the outside wall or roof that open easily to at least 4% of the floor area of that room; or haveadequate mechanical ventilation systems.","Cada habitación debe tener ventanas, tragaluces, puertas o travesaños en la pared exterior o en el techo que se abran fácilmente como mínimo a un 4 % del área del piso de esa habitación, o debe tener un sistema de ventilación mecánica adecuado.",
window_structural,30 Days,Building Structure,,Windows are not weathertight,Las ventanas no son impermeables,Windows must have good weather stripping or storm window or storm door. All glass panes must be unbroken and caulked correctly.,"Las ventanas deben tener un burlete, contraventanas o contrapuertas que funcionen adecuadamente. Todos los paneles de vidrio deben estar intactos y sellados correctamente.","410.500, 501"
wiring_exposed,30 Days,Electricity and Gas,,Wiring is covered by a rug or carpet or goes through a doorway,El cableado está cubierto por una alfombra o tapete o pasa por una puerta,"Wiring must not pass under rugs or other floor coverings, or through doorways.","El cableado no debe pasar debajo de alfombras u otros revestimientos del piso, ni a través de puertas.",410.256
